除了字符数据外，Telnet还允许客户同服务器交换命令(Command)或控制(Control)信息。因为客户和服务器之间的所有通信都是通过一个TCP连接进行的，所以协议特别安排了对命令或控制信息的编码，定义发送方如何对命令编码，以及接收方如何从正常。的数据中识别它们。使接收方可以把它们区分出来
Telnet通信的两个方向都采用带内信令方式。字节 0xff（十进制的255）叫做IAC（Interpret as command，意思是“作为命令来解释”）。该字节后面的一个字节才是命令字节。如果要发送数据255，就必须发送两个连续的字节255。
表2-1 Telnet命令集
名称	代码（十进制）	描述
EOF	236	文件结束符
SUSP	237	挂起当前进程
ABORT	238	异常终止进程
EOR	239	记录结束符
SE	240	子选项结束
NOP	241	无操作
DM	242	紧急数据标记
BRK	243	中断
EC	247	转义字符
EL	248	删除行
GA	249	继续进行（控制操作方式）
SB	250	子选项开始
WILL	251	选项协商will
WONT	252	选项协商wont
DO	253	选项协商do
DONT	254	选项协商dont
IAC	255	数据字节255
